basis,n_dof,n_q_per_segment,cholesky_ok,seconds_construct,seconds_solve,seconds,e_lam_mode1,e_lam_mode2,e_lam_mode3,e_lam_mode4,e_lam_mode5,e_lam_mode6,e_lam_mode7,e_lam_mode8,e_lam_mode9,e_lam_mode10
monomial_raw,4,12,True,3.8081780076026917e-06,0.0005086369346827269,0.0005124451126903296,3.07844954072106e-06,0.011226494139421023,0.05418123558115043,4.4248455394824875,nan,nan,nan,nan,nan,nan
monomial_orthonormalized,4,12,True,0.05869848607107997,0.00021879910491406918,0.05891728517599404,3.0784495463249976e-06,0.011226494139389646,0.054181235578252815,4.424845539441643,nan,nan,nan,nan,nan,nan
shifted_legendre,4,12,True,7.619103416800499e-05,0.00021708686836063862,0.0002932779025286436,3.0784495539406056e-06,0.011226494139411305,0.054181235578244454,4.424845539443331,nan,nan,nan,nan,nan,nan
integrated_legendre,4,12,True,0.00014060712419450283,0.0003345899749547243,0.00047519709914922714,3.0784495710398008e-06,0.01122649413940873,0.054181235578252815,4.424845539441543,nan,nan,nan,nan,nan,nan
chebyshev,4,12,True,6.65921252220869e-05,0.0001871341373771429,0.0002537262625992298,3.0784495450317816e-06,0.011226494139400182,0.05418123557817421,4.424845539440796,nan,nan,nan,nan,nan,nan
bspline_p3,4,12,True,0.00021820701658725739,0.00040753395296633244,0.0006257409695535898,0.0002278303780984305,0.012655976852096164,0.03169312241386315,3.340911974065355,nan,nan,nan,nan,nan,nan
monomial_raw,6,12,True,1.0303920134902e-05,0.00020001386292278767,0.00021031778305768967,1.6267987478431538e-10,2.7795395256687803e-05,0.0006185482600906775,0.1276946829055074,0.25113742941211303,10.354217087148532,nan,nan,nan,nan
monomial_orthonormalized,6,12,True,0.07115085888653994,0.00020718295127153397,0.07135804183781147,1.6262584707523463e-10,2.779539516033287e-05,0.0006185482578626635,0.12769468278105534,0.25113742430642744,10.354217002215494,nan,nan,nan,nan
shifted_legendre,6,12,True,0.00011031911708414555,0.0002507988829165697,0.00036111800000071526,1.627948273568276e-10,2.779539562583374e-05,0.0006185482578171476,0.12769468278121288,0.2511374243076036,10.354217002197993,nan,nan,nan,nan
integrated_legendre,6,12,True,0.00025111809372901917,0.00040610996074974537,0.0006572280544787645,1.623929244251817e-10,2.7795394823851605e-05,0.0006185482578319612,0.12769468278105287,0.25113742430653196,10.354217002215115,nan,nan,nan,nan
