mode,eps,family,solver,size_label,size,iterations,e_lam,p_correct,seconds_per_attempt,E_T_success,reached
1,0.01,classical,monomial_raw,n_dof,8,,2.0096583489452704e-12,1.0,0.00017342297360301018,0.00017342297360301018,True
1,0.01,neural_randfeat,f_eig_pielm(nf=20),random features,20,,3.0481609971869926e-08,1.0,0.013200869550928473,0.013200869550928473,True
1,0.01,neural_gradient,c_curriculum(stage1=0.5),MLP width x depth,64x4,4000,1.242621295080287e-05,1.0,37.535870822146535,37.535870822146535,True
1,0.001,classical,monomial_raw,n_dof,8,,2.0096583489452704e-12,1.0,0.00017342297360301018,0.00017342297360301018,True
1,0.001,neural_randfeat,f_eig_pielm(nf=20),random features,20,,3.0481609971869926e-08,1.0,0.013200869550928473,0.013200869550928473,True
1,0.001,neural_gradient,c_curriculum(stage1=0.5),MLP width x depth,64x4,4000,1.242621295080287e-05,1.0,37.535870822146535,37.535870822146535,True
1,0.0001,classical,monomial_raw,n_dof,8,,2.0096583489452704e-12,1.0,0.00017342297360301018,0.00017342297360301018,True
1,0.0001,neural_randfeat,f_eig_pielm(nf=20),random features,20,,3.0481609971869926e-08,1.0,0.013200869550928473,0.013200869550928473,True
1,0.0001,neural_gradient,c_curriculum(stage1=0.5),MLP width x depth,64x4,4000,1.242621295080287e-05,1.0,37.535870822146535,37.535870822146535,True
1,1e-06,classical,monomial_raw,n_dof,8,,2.0096583489452704e-12,1.0,0.00017342297360301018,0.00017342297360301018,True
1,1e-06,neural_randfeat,f_eig_pielm(nf=20),random features,20,,3.0481609971869926e-08,1.0,0.013200869550928473,0.013200869550928473,True
1,1e-06,neural_gradient,,,,,nan,nan,nan,inf,False
2,0.01,classical,monomial_raw,n_dof,8,,1.8444835969957652e-08,1.0,0.00017342297360301018,0.00017342297360301018,True
2,0.01,neural_randfeat,f_eig_pielm(nf=20),random features,20,,1.1308725148624215e-06,1.0,0.013200869550928473,0.013200869550928473,True
2,0.01,neural_gradient,d_neural_basis_galerkin(M=9),MLP width x depth,64x4,4000,0.004217664144824149,0.82,36.28245244384743,44.246893224204186,True
2,0.001,classical,monomial_raw,n_dof,8,,1.8444835969957652e-08,1.0,0.00017342297360301018,0.00017342297360301018,True
2,0.001,neural_randfeat,f_eig_pielm(nf=20),random features,20,,1.1308725148624215e-06,1.0,0.013200869550928473,0.013200869550928473,True
2,0.001,neural_gradient,a_prime_projection_diagonal,MLP width x depth,64x4,4000,1.5578891879491043e-05,1.0,75.18481463799253,75.18481463799253,True
2,0.0001,classical,monomial_raw,n_dof,8,,1.8444835969957652e-08,1.0,0.00017342297360301018,0.00017342297360301018,True
2,0.0001,neural_randfeat,f_eig_pielm(nf=20),random features,20,,1.1308725148624215e-06,1.0,0.013200869550928473,0.013200869550928473,True
2,0.0001,neural_gradient,a_prime_projection_diagonal,MLP width x depth,64x4,4000,1.5578891879491043e-05,1.0,75.18481463799253,75.18481463799253,True
2,1e-06,classical,monomial_raw,n_dof,8,,1.8444835969957652e-08,1.0,0.00017342297360301018,0.00017342297360301018,True
2,1e-06,neural_randfeat,f_eig_pielm(nf=40),random features,40,,2.8917333207257193e-07,1.0,0.013697063084691763,0.013697063084691763,True
2,1e-06,neural_gradient,,,,,nan,nan,nan,inf,False
3,0.01,classical,monomial_raw,n_dof,8,,2.207067811159684e-06,1.0,0.00017342297360301018,0.00017342297360301018,True
3,0.01,neural_randfeat,f_eig_pielm(nf=20),random features,20,,3.14900466292916e-05,1.0,0.013200869550928473,0.013200869550928473,True
3,0.01,neural_gradient,c_curriculum(stage1=0.5),MLP width x depth,64x4,4000,2.1474176242479125e-05,1.0,123.04701621388085,123.04701621388085,True
3,0.001,classical,monomial_raw,n_dof,8,,2.207067811159684e-06,1.0,0.00017342297360301018,0.00017342297360301018,True
3,0.001,neural_randfeat,f_eig_pielm(nf=20),random features,20,,3.14900466292916e-05,1.0,0.013200869550928473,0.013200869550928473,True
3,0.001,neural_gradient,c_curriculum(stage1=0.5),MLP width x depth,64x4,4000,2.1474176242479125e-05,1.0,123.04701621388085,123.04701621388085,True
3,0.0001,classical,monomial_raw,n_dof,8,,2.207067811159684e-06,1.0,0.00017342297360301018,0.00017342297360301018,True
3,0.0001,neural_randfeat,f_eig_pielm(nf=20),random features,20,,3.14900466292916e-05,1.0,0.013200869550928473,0.013200869550928473,True
3,0.0001,neural_gradient,c_curriculum(stage1=0.5),MLP width x depth,64x4,4000,2.1474176242479125e-05,1.0,123.04701621388085,123.04701621388085,True
3,1e-06,classical,monomial_raw,n_dof,10,,3.0822467710038412e-09,1.0,0.0001931029837578535,0.0001931029837578535,True
3,1e-06,neural_randfeat,,,,,nan,nan,nan,inf,False
3,1e-06,neural_gradient,,,,,nan,nan,nan,inf,False
