basis,n_dof,kappa_M_raw,kappa_K_raw,kappa_M_massnorm,kappa_K_massnorm,kappa_K_equilibrated,cholesky_ok,kappa_A_transformed,Lam_fp64,backward_error,Lam_highprec,highprec_path,Lam_absdiff_rel
monomial_raw,4,639498.061258042,8467.245731643043,554886.1642860636,10371.339790329599,7415.344325384433,True,6414.324139960335,12.362401425238023,5.32960979099859e-16,12.362401425238154,cholesky,1.0633080223981339e-14
monomial_orthonormalized,4,1.0000000000005953,6414.324139823127,1.0000000000005917,6414.324139822632,19.704720742488554,True,6414.324139821842,12.362401425238092,1.5516936266215604e-17,12.362401425238158,cholesky,5.316540111990668e-15
shifted_legendre,4,3879.758625757561,188.31785571307498,5353.735103897988,7.211760330202425,5.980950647459044,True,6414.324139823949,12.362401425238186,3.5141213194843667e-16,12.36240142523816,cholesky,2.155354099455676e-15
integrated_legendre,4,106335.86720624627,106.47771785649604,443.8065693652757,519.0947003025493,13.92820323027547,True,6414.3241398214905,12.362401425238398,1.0023332402018027e-15,12.362401425238167,cholesky,1.8679735528615847e-14
chebyshev,4,5096.0148588239035,341.8427697976981,4183.655992484291,7.274414539999773,4.742254848136925,True,6414.324139820888,12.362401425238076,4.2600892926185914e-16,12.36240142523816,cholesky,6.753442844961118e-15
bspline_p3,4,15.42002573190664,663.7787446295811,13.805504404603742,684.2349721894575,654.390657178962,True,5131.530416990629,12.365179890246585,1.4422376034285167e-15,12.365179890250316,cholesky,3.016817705726892e-13
monomial_raw,6,1334357262.1197987,6491636.5584809175,1048411164.204936,7816578.18018567,6251650.838208431,True,81866.44516519117,12.362363370337297,2.8382345795813636e-16,12.36236337033712,cholesky,1.4369071561692895e-14
monomial_orthonormalized,6,1.0000000000016585,81866.4442585786,1.0000000000016045,81866.44425857191,39.49667739206322,True,81866.44425852284,12.36236337033663,1.6859695450486604e-17,12.362363370337125,cholesky,4.0089709657123164e-14
shifted_legendre,6,26204.65083523138,1341.3652582399043,54294.25332470136,25.57627289104703,22.610165382027613,True,81866.44425847032,12.362363370338718,5.0289306472461025e-15,12.362363370337127,cholesky,1.2874688119276828e-13
integrated_legendre,6,2166008.0412587593,167.32212806020817,3588.16961843366,4294.328884321091,13.92820323027547,True,81866.44425851977,12.36236337033375,1.9963127357593242e-14,12.362363370337134,cholesky,2.7373081325024933e-13
chebyshev,6,38222.37228381796,2733.409784414055,34042.222523521545,19.064400735270333,14.139168429745997,True,81866.4442585134,12.362363370336869,4.887676372418506e-16,12.362363370337127,cholesky,2.0835153764454686e-14
bspline_p3,5,20.00846304216147,1807.218065141463,16.09907854476732,2055.261858052081,1679.6181873338226,True,16037.826276854863,12.363229471813005,9.25910045056044e-16,12.363229471802457,cholesky,8.531756962382803e-13
monomial_raw,8,2133201598196.7273,5832932585.459829,1547801722805.0674,6950097883.773963,5933992674.533628,True,543156.791014378,12.362363368351033,2.124035428043605e-14,12.36236336832623,cholesky,2.006353462485537e-12
monomial_orthonormalized,8,1.0000000001443938,543164.4121018832,1.0000000001424074,543164.4121079511,87.8003055902463,True,543164.4121173905,12.362363368315348,1.8304841937070164e-17,12.362363368326221,cholesky,8.795308704342893e-13
shifted_legendre,8,109089.91238295307,6083.313358639327,279676.6023676305,67.78770328363098,65.89494466120625,True,543164.4120989385,12.362363368336473,1.2835711837831436e-14,12.362363368326223,cholesky,8.290954292445431e-13
integrated_legendre,8,19061900.32760736,228.16653826391956,16173.751988681326,16145.767752373436,13.92820323027551,True,543164.4120986911,12.362363368341429,8.85752405210854e-14,12.362363368326216,cholesky,1.2305672887435478e-12
chebyshev,8,170670.8398255114,13373.645038698083,150921.14320444403,39.44227953263631,32.958649961544516,True,543164.4120988353,12.362363368335744,6.904888771595833e-15,12.362363368326221,cholesky,7.703259265476597e-13
bspline_p3,7,23.89889341912122,7549.1803235134275,18.09030978882832,9978.274457761258,6243.710939445583,True,80870.9115762822,12.362530580107352,5.854657974852318e-16,12.36253058009776,cholesky,7.759193694698629e-13
monomial_raw,10,2905192348909170.0,5638793749804.714,1950669834114841.5,6669801919318.174,5945906608817.966,True,2439645.3582679126,12.362363368324893,1.8383682847265672e-15,12.362363368326198,cholesky,1.0561267599562225e-13
monomial_orthonormalized,10,1.000000009235633,2473209.1816483676,1.0000000091965024,2473209.1807099963,186.295611399303,True,2473209.1802461827,12.362363368299986,1.565217219716444e-17,12.362363368326193,cholesky,2.1198691278413818e-12
shifted_legendre,10,342326.23102661344,21002.226864401862,1000458.7145932654,149.91401562990742,158.67621106004944,True,2473209.181497843,12.362363368321507,3.1337804617861887e-15,12.362363368326188,cholesky,3.786250357121971e-13
integrated_legendre,10,107008185.97210006,289.0109484676299,52925.397281182886,43053.39984024521,13.928203230275495,True,2473209.1815205873,12.362363368270572,3.268911069456829e-13,12.362363368326188,cholesky,4.4988126159822314e-12
chebyshev,10,562704.3780702035,48584.860916366015,485774.223363099,70.94112005208545,65.13088865829074,True,2473209.18154074,12.362363368296476,1.0202030738809029e-14,12.362363368326188,cholesky,2.4033709097996998e-12
bspline_p3,9,25.257838518362615,21161.37921411178,18.835372482170477,31080.857878283252,15765.898450563083,True,255498.52507463747,12.36241581779365,5.817337122768865e-16,12.362415817691103,cholesky,8.295086129928411e-12
monomial_raw,12,6.698494647080712e+17,5631813454461910.0,3.0924171364852224e+17,7004898551078169.0,6015485843998574.0,False,nan,12.36236336816632,4.137597211148277e-14,12.36236336832618,cholesky,1.293115857261775e-11
