arm,mode,ladder,nodes,n,p_correct,wilson_lo,wilson_hi,correct,lower_mode_basin,spurious,non_converged,p_accurate,n_certified,iters,seconds,init_seconds,seconds_with_init,rank_median,rank_min,objective,study,l2_error_median,h2_error_median,h2_over_l2,e_lam_median,mac_median
e_simultaneous_subspace(obj=trace),1,I0,gauss,50,0.18,0.09770192668830174,0.30796053677695,9,0,8,33,0.54,17,4000,653.3356513879262,0.0,653.3356513879262,6.0,6,trace,e_objective_ablation,0.004171783331908392,0.20617016483236286,49.42015163046587,0.042488892018301534,0.9999825959727722
e_simultaneous_subspace(obj=trace),2,I0,gauss,50,0.64,0.5014101687285786,0.7586125035053738,32,0,1,17,0.9,33,4000,653.3356513879262,0.0,653.3356513879262,6.0,6,trace,e_objective_ablation,0.007452259913201547,0.1370975332863529,18.396772909582374,0.01870891702488265,0.9999444609471628
e_simultaneous_subspace(obj=trace),3,I0,gauss,50,0.5,0.36644514313918053,0.6335548568608195,25,0,0,25,0.82,25,4000,653.3356513879262,0.0,653.3356513879262,6.0,6,trace,e_objective_ablation,0.007378473338444434,0.05818148226064589,7.885300873488282,0.003336905840404052,0.9999455351902389
e_simultaneous_subspace(obj=trace),4,I0,gauss,50,0.76,0.6258731623866494,0.8570260860478336,38,0,0,12,1.0,38,4000,653.3356513879262,0.0,653.3356513879262,6.0,6,trace,e_objective_ablation,0.01055027710794486,0.05258404193239885,4.984138463320605,0.0026373391853502207,0.9998886915924297
e_simultaneous_subspace(obj=trace),5,I0,gauss,50,0.94,0.8378290830794766,0.9793850296558021,47,0,0,3,1.0,47,4000,653.3356513879262,0.0,653.3356513879262,6.0,6,trace,e_objective_ablation,0.012373222057957083,0.05431761767805124,4.389933149475821,0.00280324110037305,0.999846903081834
e_simultaneous_subspace(obj=trace),6,I0,gauss,50,0.9,0.7863976855921404,0.9565242350762949,45,0,0,5,1.0,45,4000,653.3356513879262,0.0,653.3356513879262,6.0,6,trace,e_objective_ablation,0.018333620357684544,0.06701169014202271,3.6551258744667274,0.00418849770344198,0.9996638304113341
e_simultaneous_subspace(obj=logtrace),1,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,4000,651.1194788480643,0.0,651.1194788480643,6.0,6,logtrace,e_objective_ablation,1.790034226493923e-05,0.004474613138785709,249.97360790972004,2.0021971680076814e-05,0.9999999996795562
e_simultaneous_subspace(obj=logtrace),2,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,4000,651.1194788480643,0.0,651.1194788480643,6.0,6,logtrace,e_objective_ablation,0.0001859504723025666,0.0060226430392646725,32.38842560972374,3.623310622499221e-05,0.9999999654223306
e_simultaneous_subspace(obj=logtrace),3,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,4000,651.1194788480643,0.0,651.1194788480643,6.0,6,logtrace,e_objective_ablation,0.0004499241687844526,0.007979517434140201,17.735249599278557,6.343380894244745e-05,0.9999997975476207
e_simultaneous_subspace(obj=logtrace),4,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,4000,651.1194788480643,0.0,651.1194788480643,6.0,6,logtrace,e_objective_ablation,0.0007805248360048739,0.008925260748040793,11.434947789393675,7.921936853759267e-05,0.9999993907543872
e_simultaneous_subspace(obj=logtrace),5,I0,gauss,50,0.98,0.8950455640726042,0.9964607407295185,49,0,0,1,1.0,49,4000,651.1194788480643,0.0,651.1194788480643,6.0,6,logtrace,e_objective_ablation,0.0013875033049278525,0.013432021481272443,9.680713143937975,0.00017868365968624997,0.9999980747411246
e_simultaneous_subspace(obj=logtrace),6,I0,gauss,50,0.98,0.8950455640726042,0.9964607407295185,49,0,0,1,1.0,49,4000,651.1194788480643,0.0,651.1194788480643,6.0,6,logtrace,e_objective_ablation,0.0029775159567976637,0.01951727891881401,6.554886422776709,0.00037152034842406496,0.9999911338292268
