study,n_seeds,iters,reps,seconds_median,seconds_min,seconds_max,spread_rel,seconds_per_seed,note,batch_factor,speedup_vs_serial,nodes,n_snapshots_in_tail,step_rel_change_median,step_rel_change_p95,rule_rel_change_median,rule_rel_change_p95,prereg_tol,ratio_median_to_tol,arm,mode,ladder,n,p_correct,wilson_lo,wilson_hi,correct,lower_mode_basin,spurious,non_converged,p_accurate,n_certified,seconds,init_seconds,seconds_with_init
vmap_batching,1,4000,3,28.4386164881289,26.522214441094548,29.170850373106077,0.09313518936890432,28.4386164881289,"same work (mode 1, exact projection) with only the seed count changed; median of repeated measurements",,,,,,,,,,,,,,,,,,,,,,,,,,
vmap_batching,2,4000,3,28.517114447895437,28.222263054922223,29.036742063006386,0.028561059695304186,14.258557223947719,"same work (mode 1, exact projection) with only the seed count changed; median of repeated measurements",,,,,,,,,,,,,,,,,,,,,,,,,,
vmap_batching,8,4000,3,41.877249772893265,41.430537807988,42.04266806598753,0.014617250686690281,5.234656221611658,"same work (mode 1, exact projection) with only the seed count changed; median of repeated measurements",,,,,,,,,,,,,,,,,,,,,,,,,,
vmap_batching,50,4000,3,222.38765232102014,221.59586717793718,222.81068461714312,0.005462611914497555,4.447753046420403,"same work (mode 1, exact projection) with only the seed count changed; median of repeated measurements",,,,,,,,,,,,,,,,,,,,,,,,,,
batch_factor,50,4000,3,,,,,,ensemble wall-clock divided by a single-seed run; this is the factor used to convert ensemble time to per-attempt cost in the cost tables,7.819918117811785,6.393928842568404,,,,,,,,,,,,,,,,,,,,,,,,
snapshot_noise_floor,50,4000,,,,,,,same trailing 10 % window the pre-registered rule inspects,,,gauss,16,1.5605351515465569e-07,5.634610921417604e-07,2.329518938564403e-06,8.457256578912443e-06,0.001,0.002329518938564403,,,,,,,,,,,,,,,,
snapshot_noise_floor,50,4000,,,,,,,same trailing 10 % window the pre-registered rule inspects,,,mc,16,0.07038732239602305,0.1465990175327292,0.0864369135299235,0.08739217353082457,0.001,86.4369135299235,,,,,,,,,,,,,,,,
a_prime_mc_control,,4000,,,,,,,,,,mc,,,,,,,,a_prime_projection_diagonal,1,I0,50,0.0,0.0,0.0713475991644559,0,0,0,50,1.0,0,1851.8964839770924,4.3190084397792816e-07,1851.8964844089933
a_prime_mc_control,,4000,,,,,,,,,,mc,,,,,,,,a_prime_projection_diagonal,2,I0,50,0.0,0.0,0.0713475991644559,0,0,0,50,1.0,0,3017.8380718559492,1.13598071038723e-06,3017.83807299193
a_prime_mc_control,,4000,,,,,,,,,,mc,,,,,,,,a_prime_projection_diagonal,3,I0,50,0.0,0.0,0.0713475991644559,0,0,0,50,0.0,0,3028.921871980885,1.3601966202259064e-06,3028.9218733410817
