arm,mode,ladder,nodes,mean_seconds,p_correct,E_T_success
a_prime_projection_diagonal,1,I0,gauss,100.43301705701742,1.0,100.43301705701742
a_prime_projection_diagonal,2,I0,gauss,161.91379802802112,1.0,161.91379802802112
a_prime_projection_diagonal,3,I0,gauss,223.06691458902787,0.0,inf
a_prime_projection_diagonal,4,I0,gauss,285.4817278229166,0.0,inf
a_prime_projection_diagonal,5,I0,gauss,347.2550452540163,0.0,inf
a_prime_projection_diagonal,6,I0,gauss,408.12282667309046,0.0,inf
a_prime_projection_diagonal,7,I0,gauss,471.5307546959957,0.0,inf
a_prime_projection_diagonal,8,I0,gauss,535.5434841240058,0.0,inf
a_prime_projection_diagonal,9,I0,gauss,597.8322344910121,0.0,inf
a_prime_projection_diagonal,10,I0,gauss,658.279646852985,0.0,inf
b_projection_exact,1,I0,gauss,99.97754498105496,1.0,99.97754498105496
b_projection_exact,2,I0,gauss,165.54052110295743,1.0,165.54052110295743
b_projection_exact,3,I0,gauss,228.49044850096107,1.0,228.49044850096107
b_projection_exact,4,I0,gauss,290.93237290205434,1.0,290.93237290205434
b_projection_exact,5,I0,gauss,353.1853591639083,0.98,360.3932236366411
b_projection_exact,6,I0,gauss,415.2594209579984,1.0,415.2594209579984
b_projection_exact,7,I0,gauss,480.21256786503363,0.96,500.22142485941004
b_projection_exact,8,I0,gauss,543.3892502499511,0.94,578.0736704786715
b_projection_exact,9,I0,gauss,605.6876243168954,0.78,776.522595278071
b_projection_exact,10,I0,gauss,666.3019058450591,0.82,812.5632998110477
c_curriculum(stage1=0.5),1,I4,gauss,100.20515269506723,1.0,100.20515269506723
c_curriculum(stage1=0.5),2,I4,gauss,166.74475291499402,1.0,166.74475291499402
c_curriculum(stage1=0.5),3,I4,gauss,230.19304558006115,1.0,230.19304558006115
d_neural_basis_galerkin(M=9),1,I0,gauss,924.4082339130109,0.96,962.9252436593864
d_neural_basis_galerkin(M=9),2,I0,gauss,924.4082339130109,0.82,1127.327114528062
d_neural_basis_galerkin(M=9),3,I0,gauss,924.4082339130109,0.22,4201.855608695504
d_neural_basis_galerkin(M=9),4,I0,gauss,924.4082339130109,0.0,inf
d_neural_basis_galerkin(M=9),5,I0,gauss,924.4082339130109,0.0,inf
d_neural_basis_galerkin(M=9),6,I0,gauss,924.4082339130109,0.0,inf
e_simultaneous_subspace,1,I0,gauss,649.0604948110413,0.2,3245.3024740552064
e_simultaneous_subspace,2,I0,gauss,649.0604948110413,0.58,1119.0698186397265
e_simultaneous_subspace,3,I0,gauss,649.0604948110413,0.44,1475.137488206912
e_simultaneous_subspace,4,I0,gauss,649.0604948110413,0.86,754.721505594234
e_simultaneous_subspace,5,I0,gauss,649.0604948110413,0.9,721.1783275678237
e_simultaneous_subspace,6,I0,gauss,649.0604948110413,0.9,721.1783275678237
f_eig_pielm(nf=20),1,n/a,gauss,0.017277248087339103,1.0,0.017277248087339103
f_eig_pielm(nf=20),2,n/a,gauss,0.017277248087339103,1.0,0.017277248087339103
f_eig_pielm(nf=20),3,n/a,gauss,0.017277248087339103,1.0,0.017277248087339103
f_eig_pielm(nf=40),1,n/a,gauss,0.01549659704323858,1.0,0.01549659704323858
f_eig_pielm(nf=40),2,n/a,gauss,0.01549659704323858,1.0,0.01549659704323858
f_eig_pielm(nf=40),3,n/a,gauss,0.01549659704323858,1.0,0.01549659704323858
f_eig_pielm(nf=80),1,n/a,gauss,0.017589604016393423,1.0,0.017589604016393423
f_eig_pielm(nf=80),2,n/a,gauss,0.017589604016393423,1.0,0.017589604016393423
f_eig_pielm(nf=80),3,n/a,gauss,0.017589604016393423,1.0,0.017589604016393423
f_eig_pielm(nf=160),1,n/a,gauss,0.018236717907711864,1.0,0.018236717907711864
f_eig_pielm(nf=160),2,n/a,gauss,0.018236717907711864,1.0,0.018236717907711864
f_eig_pielm(nf=160),3,n/a,gauss,0.018236717907711864,1.0,0.018236717907711864
a_penalty(w=0.1),1,I0,gauss,99.99275782308541,1.0,99.99275782308541
a_penalty(w=0.1),2,I0,gauss,162.18565532995854,0.0,inf
a_penalty(w=0.1),3,I0,gauss,224.1107580109965,0.0,inf
a_penalty(w=1),1,I0,gauss,99.96785078197718,1.0,99.96785078197718
a_penalty(w=1),2,I0,gauss,161.84593347704504,0.0,inf
a_penalty(w=1),3,I0,gauss,224.07077225402463,0.0,inf
a_penalty(w=10),1,I0,gauss,99.96628842898645,1.0,99.96628842898645
a_penalty(w=10),2,I0,gauss,161.8208895699354,0.0,inf
a_penalty(w=10),3,I0,gauss,224.0262831050204,0.0,inf
a_penalty(w=100),1,I0,gauss,99.9755410089856,1.0,99.9755410089856
a_penalty(w=100),2,I0,gauss,161.81851665989961,0.0,inf
a_penalty(w=100),3,I0,gauss,223.9979437959846,0.0,inf
a_penalty(w=1000),1,I0,gauss,99.95763010601513,1.0,99.95763010601513
a_penalty(w=1000),2,I0,gauss,162.0423122330103,1.0,162.0423122330103
a_penalty(w=1000),3,I0,gauss,224.6602844709996,0.0,inf
b_projection_exact,1,I0,gauss,99.95950482296757,1.0,99.95950482296757
b_projection_exact,2,I0,gauss,165.380093258922,1.0,165.380093258922
b_projection_exact,3,I0,gauss,228.39910901198164,1.0,228.39910901198164
b_projection_exact,1,I0,mc,829.6194675070001,0.0,inf
b_projection_exact,2,I0,mc,1354.8764753630385,0.0,inf
b_projection_exact,3,I0,mc,1880.2658593420638,0.0,inf
a_prime_projection_diagonal,3,I0,gauss,223.5613480869215,0.0,inf
a_prime_projection_diagonal,3,I1,gauss,226.21067151008174,0.0,inf
a_prime_projection_diagonal,3,I3,gauss,226.13857925799675,0.0,inf
a_prime_projection_diagonal,3,I5,gauss,226.14956285699736,0.0,inf
