arm,mode,ladder,nodes,n,p_correct,wilson_lo,wilson_hi,correct,lower_mode_basin,spurious,non_converged,p_accurate,n_certified,seconds,rank_median,rank_min,e_lam,rank_used,kappa_M,rank_tol_1e-16,rank_tol_1e-14,rank_tol_1e-12,rank_tol_1e-10
a_prime_projection_diagonal,1,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,100.43301705701742,,,,,,,,,
a_prime_projection_diagonal,2,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,161.91379802802112,,,,,,,,,
a_prime_projection_diagonal,3,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,223.06691458902787,,,,,,,,,
a_prime_projection_diagonal,4,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,285.4817278229166,,,,,,,,,
a_prime_projection_diagonal,5,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,347.2550452540163,,,,,,,,,
a_prime_projection_diagonal,6,I0,gauss,50,0.0,0.0,0.0713475991644559,0,49,0,1,0.0,49,408.12282667309046,,,,,,,,,
a_prime_projection_diagonal,7,I0,gauss,50,0.0,0.0,0.0713475991644559,0,24,10,16,0.0,34,471.5307546959957,,,,,,,,,
a_prime_projection_diagonal,8,I0,gauss,50,0.0,0.0,0.0713475991644559,0,8,15,27,0.0,23,535.5434841240058,,,,,,,,,
a_prime_projection_diagonal,9,I0,gauss,50,0.0,0.0,0.0713475991644559,0,27,3,20,0.0,30,597.8322344910121,,,,,,,,,
a_prime_projection_diagonal,10,I0,gauss,50,0.0,0.0,0.0713475991644559,0,30,1,19,0.0,31,658.279646852985,,,,,,,,,
b_projection_exact,1,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,99.97754498105496,,,,,,,,,
b_projection_exact,2,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,165.54052110295743,,,,,,,,,
b_projection_exact,3,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,228.49044850096107,,,,,,,,,
b_projection_exact,4,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,290.93237290205434,,,,,,,,,
b_projection_exact,5,I0,gauss,50,0.98,0.8950455640726042,0.9964607407295185,49,0,0,1,1.0,49,353.1853591639083,,,,,,,,,
b_projection_exact,6,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,415.2594209579984,,,,,,,,,
b_projection_exact,7,I0,gauss,50,0.96,0.8653990930933617,0.9889611156753388,48,0,0,2,1.0,48,480.21256786503363,,,,,,,,,
b_projection_exact,8,I0,gauss,50,0.94,0.8378290830794766,0.9793850296558021,47,0,0,3,0.98,47,543.3892502499511,,,,,,,,,
b_projection_exact,9,I0,gauss,50,0.78,0.6475845041534792,0.8724608403144255,39,0,1,10,0.94,40,605.6876243168954,,,,,,,,,
b_projection_exact,10,I0,gauss,50,0.82,0.6920394632230499,0.9022980733116982,41,0,1,8,0.96,42,666.3019058450591,,,,,,,,,
c_curriculum(stage1=0.5),1,I4,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,100.20515269506723,,,,,,,,,
c_curriculum(stage1=0.5),2,I4,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,166.74475291499402,,,,,,,,,
c_curriculum(stage1=0.5),3,I4,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,230.19304558006115,,,,,,,,,
d_neural_basis_galerkin(M=9),1,I0,gauss,50,0.96,0.8653990930933617,0.9889611156753388,48,0,0,2,1.0,48,924.4082339130109,4.0,3,,,,,,,
d_neural_basis_galerkin(M=9),2,I0,gauss,50,0.82,0.6920394632230499,0.9022980733116982,41,0,0,9,1.0,41,924.4082339130109,4.0,3,,,,,,,
d_neural_basis_galerkin(M=9),3,I0,gauss,50,0.22,0.12753915968557453,0.3524154958465208,11,0,17,22,0.32,28,924.4082339130109,4.0,3,,,,,,,
d_neural_basis_galerkin(M=9),4,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,16,34,0.0,16,924.4082339130109,4.0,3,,,,,,,
d_neural_basis_galerkin(M=9),5,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,5,45,0.0,5,924.4082339130109,4.0,3,,,,,,,
d_neural_basis_galerkin(M=9),6,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,0,50,0.0,0,924.4082339130109,4.0,3,,,,,,,
e_simultaneous_subspace,1,I0,gauss,50,0.2,0.11243750014242715,0.33037105935624644,10,0,6,34,0.52,16,649.0604948110413,6.0,6,,,,,,,
e_simultaneous_subspace,2,I0,gauss,50,0.58,0.4423344176544836,0.7062499664792035,29,0,2,19,0.9,31,649.0604948110413,6.0,6,,,,,,,
e_simultaneous_subspace,3,I0,gauss,50,0.44,0.3116219920854974,0.5769397198142373,22,0,0,28,0.82,22,649.0604948110413,6.0,6,,,,,,,
e_simultaneous_subspace,4,I0,gauss,50,0.86,0.7381380628604952,0.9304916657410965,43,0,0,7,1.0,43,649.0604948110413,6.0,6,,,,,,,
