arm,mode,ladder,nodes,n,p_correct,wilson_lo,wilson_hi,correct,lower_mode_basin,spurious,non_converged,p_accurate,n_certified,iters,seconds,rank_median,rank_min,variant,w_orth,n_basis,p_accurate_w0,rank_median_w0
"d_neural_basis_galerkin(M=9,w_orth=1000)",1,I0,gauss,50,0.94,0.8378290830794766,0.9793850296558021,47,0,0,3,1.0,47,4000,932.2295615880284,4.0,3,orth_ablation,1000.0,9,1.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=1000)",2,I0,gauss,50,0.7,0.5624964953220304,0.8089644650121872,35,0,0,15,0.96,35,4000,932.2295615880284,4.0,3,orth_ablation,1000.0,9,1.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=1000)",3,I0,gauss,50,0.24,0.1429739139521664,0.37412683761335064,12,0,11,27,0.36,23,4000,932.2295615880284,4.0,3,orth_ablation,1000.0,9,0.32,4.0
"d_neural_basis_galerkin(M=9,w_orth=1000)",4,I0,gauss,50,0.02,0.0035392592704817324,0.10495443592739592,1,0,15,34,0.02,16,4000,932.2295615880284,4.0,3,orth_ablation,1000.0,9,0.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=1000)",5,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,5,45,0.0,5,4000,932.2295615880284,4.0,3,orth_ablation,1000.0,9,0.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=1000)",6,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,0,50,0.0,0,4000,932.2295615880284,4.0,3,orth_ablation,1000.0,9,0.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=10000)",1,I0,gauss,50,0.92,0.8116175307839263,0.9684504859179309,46,0,0,4,1.0,46,4000,928.1215213390533,4.0,3,orth_ablation,10000.0,9,1.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=10000)",2,I0,gauss,50,0.7,0.5624964953220304,0.8089644650121872,35,0,0,15,0.94,35,4000,928.1215213390533,4.0,3,orth_ablation,10000.0,9,1.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=10000)",3,I0,gauss,50,0.18,0.09770192668830174,0.30796053677695,9,0,12,29,0.26,21,4000,928.1215213390533,4.0,3,orth_ablation,10000.0,9,0.32,4.0
"d_neural_basis_galerkin(M=9,w_orth=10000)",4,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,16,34,0.0,16,4000,928.1215213390533,4.0,3,orth_ablation,10000.0,9,0.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=10000)",5,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,7,43,0.0,7,4000,928.1215213390533,4.0,3,orth_ablation,10000.0,9,0.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=10000)",6,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,1,49,0.0,1,4000,928.1215213390533,4.0,3,orth_ablation,10000.0,9,0.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=100000)",1,I0,gauss,50,0.9,0.7863976855921404,0.9565242350762949,45,0,0,5,1.0,45,4000,928.8264078921638,4.0,3,orth_ablation,100000.0,9,1.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=100000)",2,I0,gauss,50,0.7,0.5624964953220304,0.8089644650121872,35,0,0,15,0.98,35,4000,928.8264078921638,4.0,3,orth_ablation,100000.0,9,1.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=100000)",3,I0,gauss,50,0.18,0.09770192668830174,0.30796053677695,9,0,10,31,0.32,19,4000,928.8264078921638,4.0,3,orth_ablation,100000.0,9,0.32,4.0
"d_neural_basis_galerkin(M=9,w_orth=100000)",4,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,11,39,0.0,11,4000,928.8264078921638,4.0,3,orth_ablation,100000.0,9,0.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=100000)",5,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,5,45,0.0,5,4000,928.8264078921638,4.0,3,orth_ablation,100000.0,9,0.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=100000)",6,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,0,50,0.0,0,4000,928.8264078921638,4.0,3,orth_ablation,100000.0,9,0.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=1e+06)",1,I0,gauss,50,0.98,0.8950455640726042,0.9964607407295185,49,0,0,1,1.0,49,4000,929.1428888710216,4.0,4,orth_ablation,1000000.0,9,1.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=1e+06)",2,I0,gauss,50,0.9,0.7863976855921404,0.9565242350762949,45,0,0,5,1.0,45,4000,929.1428888710216,4.0,4,orth_ablation,1000000.0,9,1.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=1e+06)",3,I0,gauss,50,0.2,0.11243750014242715,0.33037105935624644,10,0,11,29,0.36,21,4000,929.1428888710216,4.0,4,orth_ablation,1000000.0,9,0.32,4.0
"d_neural_basis_galerkin(M=9,w_orth=1e+06)",4,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,16,34,0.0,16,4000,929.1428888710216,4.0,4,orth_ablation,1000000.0,9,0.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=1e+06)",5,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,3,47,0.0,3,4000,929.1428888710216,4.0,4,orth_ablation,1000000.0,9,0.0,4.0
"d_neural_basis_galerkin(M=9,w_orth=1e+06)",6,I0,gauss,50,0.0,0.0,0.0713475991644559,0,0,0,50,0.0,0,4000,929.1428888710216,4.0,4,orth_ablation,1000000.0,9,0.0,4.0
