arm,mode,ladder,nodes,n,p_correct,wilson_lo,wilson_hi,correct,lower_mode_basin,spurious,non_converged,p_accurate,n_certified,seconds,penalty_weight,iters,init_seconds,seconds_with_init
a_penalty(w=0.1),1,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,99.99275782308541,0.1,,,
a_penalty(w=0.1),2,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,162.18565532995854,0.1,,,
a_penalty(w=0.1),3,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,224.1107580109965,0.1,,,
a_penalty(w=1),1,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,99.96785078197718,1.0,,,
a_penalty(w=1),2,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,161.84593347704504,1.0,,,
a_penalty(w=1),3,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,224.07077225402463,1.0,,,
a_penalty(w=10),1,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,99.96628842898645,10.0,,,
a_penalty(w=10),2,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,161.8208895699354,10.0,,,
a_penalty(w=10),3,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,224.0262831050204,10.0,,,
a_penalty(w=100),1,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,99.9755410089856,100.0,,,
a_penalty(w=100),2,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,161.81851665989961,100.0,,,
a_penalty(w=100),3,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,223.9979437959846,100.0,,,
a_penalty(w=1000),1,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,99.95763010601513,1000.0,,,
a_penalty(w=1000),2,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,162.0423122330103,1000.0,,,
a_penalty(w=1000),3,I0,gauss,50,0.0,0.0,0.0713475991644559,0,50,0,0,0.0,50,224.6602844709996,1000.0,,,
a_penalty(w=10000),1,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,100.21474528987892,10000.0,4000,6.880145519971848e-07,100.21474597789347
a_penalty(w=10000),2,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,162.16243638191372,10000.0,4000,1.216074451804161e-06,162.16243759798817
a_penalty(w=10000),3,I0,gauss,50,0.94,0.8378290830794766,0.9793850296558021,47,2,0,1,0.96,49,225.64880999200977,10000.0,4000,1.600245013833046e-06,225.6488115922548
a_penalty(w=100000),1,I0,gauss,50,1.0,0.9286524008355441,1.0,50,0,0,0,1.0,50,99.73712446913123,100000.0,4000,1.5995465219020844e-07,99.73712462908588
a_penalty(w=100000),2,I0,gauss,50,0.14,0.06950833425890346,0.26186193713950484,7,0,0,43,1.0,7,162.34147841692902,100000.0,4000,3.520399332046509e-07,162.34147876896895
a_penalty(w=100000),3,I0,gauss,50,0.82,0.6920394632230499,0.9022980733116982,41,0,0,9,1.0,41,225.21318331290968,100000.0,4000,4.961621016263962e-07,225.21318380907178
