mode,beta_L,Lambda,reference,uncertainty_rel
1,1.8751040687119611,12.36236336832619,analytic (Euler-Bernoulli),1e-14
2,4.694091132974175,485.51881851337123,analytic (Euler-Bernoulli),1e-14
3,7.854757438237613,3806.5462663914514,analytic (Euler-Bernoulli),1e-14
4,10.995540734875467,14617.273305118782,analytic (Euler-Bernoulli),1e-14
5,14.13716839104647,39943.83177850947,analytic (Euler-Bernoulli),1e-14
6,17.278759532088237,89135.40507142326,analytic (Euler-Bernoulli),1e-14
7,20.42035225104125,173881.31565610573,analytic (Euler-Bernoulli),1e-14
8,23.561944901806445,308208.4520936513,analytic (Euler-Bernoulli),1e-14
9,26.7035375555183,508481.54326606746,analytic (Euler-Bernoulli),1e-14
10,29.845130209102823,793403.1345401169,analytic (Euler-Bernoulli),1e-14
