budget_iters,arm,mode,ladder,start,prior_information,p_correct,p_accurate,train_seconds_per_attempt,init_seconds_per_attempt,total_seconds_per_attempt,ensemble_seconds_reported,per_attempt_scale,per_attempt_source,E_T_success,E_T_success_if_init_free,speedup_vs_cold,beats_cold
200,a_prime_projection_diagonal,3,I0,cold,random network initialization; no prior information,0.0,0.0,5.829243209387373,3.992765079171286e-07,5.829243608663881,11.214008249109611,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
200,a_prime_projection_diagonal,3,I1,cold,"BC-satisfying random polynomial; structural prior only, no information about the target mode",0.0,0.0,5.93642705606394,3.269558044603551,9.20598510066749,11.420203204033896,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
200,a_prime_projection_diagonal,3,I2,warm-lambda,"eigenvalue window only, as a barrier on the objective; no shape information",0.0,0.0,5.923300083584228,7.235146906118808e-07,5.923300807098919,11.39495018706657,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
200,a_prime_projection_diagonal,3,I3,warm-shape,coarse-Ritz solution pre-fitted in value and curvature,0.0,0.0,5.951962582806316,7.88673705386379,13.838699636670107,11.450089677935466,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
200,a_prime_projection_diagonal,3,I5,warm-oracle,analytic mode shape and curvature pre-fitted; upper bound,0.0,0.0,5.9520714067743805,7.691091985925195,13.643163392699575,11.450299028074369,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
200,b_projection_exact,3,I0,cold,random network initialization; no prior information,0.58,0.84,6.251876761824531,2.8026726150500276e-07,6.251877042091793,11.420980935916305,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),10.779098348434125,10.779097865214709,1.0,False
200,b_projection_exact,3,I1,cold,"BC-satisfying random polynomial; structural prior only, no information about the target mode",1.0,1.0,6.387969801007326,3.4439390313428735,9.8319088323502,11.669596842024475,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),9.8319088323502,6.387969801007326,1.0963383135701341,True
200,b_projection_exact,3,I2,warm-lambda,"eigenvalue window only, as a barrier on the objective; no shape information",0.58,0.84,6.327987372458309,3.5916013775402356e-07,6.327987731618447,11.56002043816261,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),10.91032367520422,10.910323055962602,0.9879723708776552,False
200,b_projection_exact,3,I3,warm-shape,coarse-Ritz solution pre-fitted in value and curvature,1.0,1.0,6.388249933297012,8.391448653161612,14.779698586458625,11.670108590042219,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),14.779698586458625,6.388249933297012,0.7293178737968372,False
200,b_projection_exact,3,I5,warm-oracle,analytic mode shape and curvature pre-fitted; upper bound,1.0,1.0,6.423325350103493,8.103139497042118,14.526464847145611,11.734184655826539,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),14.526464847145611,6.423325350103493,0.7420317649102475,False
400,a_prime_projection_diagonal,3,I0,cold,random network initialization; no prior information,0.0,0.0,11.627642923731386,4.158575572001376e-07,11.627643339588943,22.368681316031143,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
400,a_prime_projection_diagonal,3,I1,cold,"BC-satisfying random polynomial; structural prior only, no information about the target mode",0.0,0.0,11.842528581469383,3.270505774778164,15.113034356247546,22.78206766000949,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
400,a_prime_projection_diagonal,3,I2,warm-lambda,"eigenvalue window only, as a barrier on the objective; no shape information",0.0,0.0,11.880500802492648,5.738011288375589e-07,11.880501376293777,22.855116730788723,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
400,a_prime_projection_diagonal,3,I3,warm-shape,coarse-Ritz solution pre-fitted in value and curvature,0.0,0.0,11.835287251768355,8.140080167228925,19.97536741899728,22.76813714997843,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
400,a_prime_projection_diagonal,3,I5,warm-oracle,analytic mode shape and curvature pre-fitted; upper bound,0.0,0.0,11.877139549307946,7.6966531447101545,19.573792694018103,22.84865051903762,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
400,b_projection_exact,3,I0,cold,random network initialization; no prior information,0.78,0.94,12.574085007164184,4.203371661862206e-07,12.57408542750135,22.97044401615858,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),16.120622342950448,16.120621804056647,1.0,False
400,b_projection_exact,3,I1,cold,"BC-satisfying random polynomial; structural prior only, no information about the target mode",1.0,1.0,12.780747348167909,3.4934007539096035,16.27414810207751,23.347976515069604,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),16.27414810207751,12.780747348167909,0.9905662798344901,False
400,b_projection_exact,3,I2,warm-lambda,"eigenvalue window only, as a barrier on the objective; no shape information",0.78,0.94,12.570318469691486,4.817690989035519e-07,12.570318951460585,22.96356327389367,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),16.11579352751357,16.11579290986088,1.0002996324958267,True
400,b_projection_exact,3,I3,warm-shape,coarse-Ritz solution pre-fitted in value and curvature,1.0,1.0,12.69317558717246,8.808406130735957,21.501581717908415,23.18799968715757,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),21.501581717908415,12.69317558717246,0.7497412308752974,False
400,b_projection_exact,3,I5,warm-oracle,analytic mode shape and curvature pre-fitted; upper bound,1.0,1.0,12.706695360217488,8.098673402415985,20.80536876263347,23.212697722017765,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),20.80536876263347,12.706695360217488,0.7748299262017001,False
4000,a_prime_projection_diagonal,3,I0,cold,random network initialization; no prior information,0.0,0.0,115.99161613126543,3.327102516714721e-07,115.99161646397569,223.13890386815183,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
4000,a_prime_projection_diagonal,3,I1,cold,"BC-satisfying random polynomial; structural prior only, no information about the target mode",0.0,0.0,117.6375240751754,8.338035561962904,125.9755596371383,226.3052197340876,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
4000,a_prime_projection_diagonal,3,I2,warm-lambda,"eigenvalue window only, as a barrier on the objective; no shape information",0.0,0.0,119.1415595925515,2.328608673029874e-07,119.14155982541237,229.19860847992823,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
4000,a_prime_projection_diagonal,3,I3,warm-shape,coarse-Ritz solution pre-fitted in value and curvature,0.0,0.0,118.35347379119045,79.93011448238441,198.28358827357488,227.68252819986083,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
4000,a_prime_projection_diagonal,3,I5,warm-oracle,analytic mode shape and curvature pre-fitted; upper bound,0.0,0.0,118.26611636299639,78.47402030844698,196.74013667144337,227.51447432301939,0.5198179883495461,p1_single_seed_cost.csv (n_seeds = 1),inf,inf,nan,False
4000,b_projection_exact,3,I0,cold,random network initialization; no prior information,1.0,1.0,124.86610954371454,4.641807032292952e-07,124.86611000789524,228.10645682411268,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),124.86611000789524,124.86610954371454,1.0,False
4000,b_projection_exact,3,I1,cold,"BC-satisfying random polynomial; structural prior only, no information about the target mode",1.0,1.0,126.51776393811319,8.82836157601381,135.346125514127,231.1237129329238,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),135.346125514127,126.51776393811319,0.9225687808467196,False
4000,b_projection_exact,3,I2,warm-lambda,"eigenvalue window only, as a barrier on the objective; no shape information",1.0,1.0,126.02807515373892,2.1909023307280572e-07,126.02807537282916,230.22914535203017,0.5474027841307261,p1_single_seed_cost.csv (n_seeds = 1),126.02807537282916,126.02807515373892,0.9907801070396698,False
