problem,solver,size,reps,seconds_median,seconds_min,seconds_max,spread_rel,note
P1,monomial_raw,6,7,0.00011158292181789875,9.947107173502445e-05,0.0004931008443236351,3.5276883431230375,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,monomial_raw,8,7,0.00012084795162081718,0.00011910288594663143,0.0001431349664926529,0.19886212570177905,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,monomial_raw,10,7,0.00014139199629426003,0.0001411351840943098,0.00015211105346679688,0.07762723251777616,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,monomial_raw,12,7,0.00016804691404104233,0.00016567902639508247,0.0001735349651426077,0.04674848563780557,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,monomial_orthonormalized,6,7,0.08200636692345142,0.028343396028503776,0.09799206210300326,0.8493080316496987,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,monomial_orthonormalized,8,7,0.08599435887299478,0.07199279498308897,0.0967459890525788,0.2878467191789623,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,monomial_orthonormalized,10,7,0.08899606904014945,0.08643315592780709,0.10999360587447882,0.26473584958053287,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,monomial_orthonormalized,12,7,0.09800110198557377,0.08744009397923946,0.10550702409818769,0.18435435676639392,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,shifted_legendre,6,7,0.0007892749272286892,0.0007224278524518013,0.004156087059527636,4.350396913192386,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,shifted_legendre,8,7,0.0010796899441629648,0.0010382821783423424,0.0040988868568092585,2.8347070332674678,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,shifted_legendre,10,7,0.0035818498581647873,0.0014079920947551727,0.004657763056457043,0.9072884376473941,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,shifted_legendre,12,7,0.0018259570933878422,0.0017942450940608978,0.0018472208175808191,0.02901257850568179,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,chebyshev,6,7,0.0002810060977935791,0.00026750192046165466,0.0008599150460213423,2.108186015219005,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,chebyshev,8,7,0.0003718689549714327,0.0003686537966132164,0.00038207811303436756,0.03609958895918706,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,chebyshev,10,7,0.0004890528507530689,0.0004845408257097006,0.00049618910998106,0.023818047995063953,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,chebyshev,12,7,0.0006232920568436384,0.0006170840933918953,0.0006252920720726252,0.013168752257641803,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,integrated_legendre,6,7,0.0005662199109792709,0.00056255585514009,0.0006729878950864077,0.19503383368367727,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,integrated_legendre,8,7,0.0008422031532973051,0.0008378180209547281,0.0008533548098057508,0.018447792305448775,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,integrated_legendre,10,7,0.0011542171705514193,0.0011514648795127869,0.001161352964118123,0.008566918650683585,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P1,integrated_legendre,12,7,0.0015022470615804195,0.0014982949942350388,0.0015068550128489733,0.005698143023777367,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P4,graded Q2 (beta=3.0),4,7,0.011459114030003548,0.011377483140677214,0.012623091926798224,0.10870026974682484,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P4,graded Q2 (beta=3.0),8,7,0.044239667942747474,0.04292863607406616,0.04566069901920855,0.061755955055496185,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P4,graded Q2 (beta=1.0),8,7,0.04206928098574281,0.04178310581482947,0.044249491998925805,0.05862677293990809,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
P4,graded Q2 (beta=3.0),16,7,0.18845276208594441,0.18778300611302257,0.1980129110161215,0.054283655966971524,repeated on a machine that also hosts a resident inference service; the range is the contention exposure
