m,radial_order,kb,Lambda_k4,degenerate,reference
0,0,3.1043514172654647,92.87172509148368,False,exact Bessel (mpmath dps=50)
0,1,7.920177722889678,3934.954434860303,False,exact Bessel (mpmath dps=50)
0,2,13.439125284183923,32620.004033297668,False,exact Bessel (mpmath dps=50)
0,3,18.882105495487377,127116.42751290408,False,exact Bessel (mpmath dps=50)
1,0,3.127277350808592,95.64573259949779,True,exact Bessel (mpmath dps=50)
1,1,8.033296064289058,4164.617235219812,True,exact Bessel (mpmath dps=50)
1,2,13.511382130646181,33327.22148449294,True,exact Bessel (mpmath dps=50)
1,3,18.936648929977764,128591.57366952287,True,exact Bessel (mpmath dps=50)
2,0,3.341773309772862,124.71191390470176,True,exact Bessel (mpmath dps=50)
2,1,8.367026310251074,4900.9981495273005,True,exact Bessel (mpmath dps=50)
2,2,13.727768120632694,35514.01216620411,True,exact Bessel (mpmath dps=50)
2,3,19.100006064164383,133086.50511734106,True,exact Bessel (mpmath dps=50)
3,0,3.9447361708322832,242.1429612866576,True,exact Bessel (mpmath dps=50)
3,1,8.90465824995606,6287.370103657868,True,exact Bessel (mpmath dps=50)
3,2,14.086437963578081,39373.56581949056,True,exact Bessel (mpmath dps=50)
3,3,19.37125192676808,140809.111129491,True,exact Bessel (mpmath dps=50)
4,0,4.8401006153487485,548.804367817235,True,exact Bessel (mpmath dps=50)
4,1,9.619952338608366,8564.296245233902,True,exact Bessel (mpmath dps=50)
4,2,14.582757243957737,45222.918344396894,True,exact Bessel (mpmath dps=50)
4,3,19.74856838949766,152104.643714483,True,exact Bessel (mpmath dps=50)
