k_hat,basis,n_dof,kappa_M_raw,kappa_K_raw,kappa_M_massnorm,kappa_K_massnorm,kappa_K_equilibrated,cholesky_ok,kappa_A_transformed,Lam_fp64,backward_error,Lam_highprec,highprec_path,Lam_absdiff_rel
1.0,monomial_raw,8,2133259516835.8428,5832933018.802865,1547857446821.9358,6950098132.065096,5933993514.7451315,True,543149.6886947288,12.362363368324935,1.0397404494260137e-15,12.362363368326214,cholesky,1.0345731526101758e-13
1.0,monomial_orthonormalized,8,1.0000000001350717,543164.412101713,1.0000000001350622,543164.4121019919,87.8003055902374,True,543164.4120980884,12.362363368329737,7.903493062761194e-18,12.362363368326221,cholesky,2.843639262521579e-13
1.0,shifted_legendre,8,109089.91238268255,6083.313358639364,279676.60236801533,67.78770328363132,65.89494466120645,True,543164.4120959464,12.362363368342468,2.0777424284099515e-14,12.362363368326223,cholesky,1.3140515945305626e-12
1.0,integrated_legendre,8,19061900.32760243,228.1665382639197,16173.75198865781,16145.767752373471,13.928203230275509,True,543164.4120979264,12.362363368313883,7.138424916535661e-14,12.362363368326221,cholesky,9.980757108375385e-13
1.0,chebyshev,8,170670.83982472512,13373.645038698183,150921.14320372915,39.442279532636384,32.95864996154468,True,543164.4120980127,12.362363368324589,1.4134446296419689e-15,12.362363368326221,cholesky,1.3205176767343765e-13
1.0,bspline_C0,8,26.617341618594853,20467.291177020088,22.814144012479467,38241.92324003219,10445.729032129795,True,187218.93710096416,3.9771480232815954,3.6258892248057656e-16,3.9771480232631546,cholesky,4.6366904955912634e-12
1.0,enriched_split,8,9222354794.596657,8911537.61148168,7235645900.008482,10672704.66284573,9802310.649162346,True,430526.8388858571,3.9771119153467493,1.0123975998367188e-14,3.9771119153432437,cholesky,8.814537526671137e-13
1.0,enriched_split_orthonormalized,8,1.0009400652105769,430551.0699486282,1.0005525156217954,430536.60940452444,264.4152217470673,True,430526.87084682117,3.977111915341051,1.45278766496502e-17,3.9771119153432446,cholesky,5.516064781068585e-13
1.0,hermite_fem_split_rotation,81,1296196.1551142938,181263649.1185201,29.164828632867373,305896995.5166484,41557566.06350081,True,2327074948.982084,3.9771119217912845,1.7166671610473234e-15,3.9771118889857635,cholesky,8.24857883864358e-09
1.0,monomial_raw,12,3.023795205250497e+17,5713700659640837.0,8.652184482477536e+16,6701851394096556.0,6149378319290942.0,False,nan,12.362363368419103,2.5839289357101377e-14,12.362363368326186,cholesky,7.516173953712944e-12
1.0,monomial_orthonormalized,12,1.0000002819753677,8785065.990356179,1.0000002819328038,8785065.981094185,365.21867396646,True,8785065.964220922,12.362363368670676,4.020619374926933e-17,12.362363368326198,cholesky,2.786507833983e-11
1.0,shifted_legendre,12,890806.6729643898,60049.834018938025,2844700.988719922,292.2517145747741,332.2091390794235,True,8785065.98070808,12.362363368097867,7.58417866077193e-14,12.362363368326195,cholesky,1.846957351625755e-11
1.0,integrated_legendre,12,449931609.61248493,349.8553586713444,141133.69752795013,94144.90246396227,13.928203230275473,True,8785065.980848752,12.36236336854964,1.313519114474731e-12,12.362363368326202,cholesky,1.807413666681543e-11
1.0,chebyshev,12,1518996.9829343276,144128.45386184996,1279130.7087345899,115.68851201288123,114.72037157306637,True,8785065.980678093,12.36236336822623,1.8053464552517383e-14,12.362363368326195,cholesky,8.086195022658019e-12
1.0,bspline_C0,12,26.93777251604696,946434.0230169574,21.18567520209512,1698862.1287047006,51477.168400876224,True,8902237.976233026,3.9771173118966963,8.816815373986042e-17,3.9771173119367025,cholesky,1.0059099951233587e-11
