basis,aligned,n_q,value,abs_change
enriched_orthonormalized,True,12,10.211706596528401,
enriched_orthonormalized,True,16,10.211706597115622,5.872209385415772e-10
enriched_orthonormalized,True,24,10.211706596866534,2.490878614480607e-10
enriched_orthonormalized,True,32,10.211706597145575,2.7904079047402774e-10
enriched_orthonormalized,True,64,10.211706596695327,4.502478390122633e-10
enriched_orthonormalized,False,12,nan,
enriched_orthonormalized,False,16,8.049299843844121,nan
enriched_orthonormalized,False,24,10.209625251479489,2.1603254076353675
enriched_orthonormalized,False,32,9.900861397606937,0.3087638538725521
enriched_orthonormalized,False,64,10.183904333275455,0.2830429356685187
bspline_C0,True,12,10.21172119110016,
bspline_C0,True,16,10.211721191222388,1.2222756140545243e-10
bspline_C0,True,24,10.211721191487129,2.6474111791685573e-10
bspline_C0,True,32,10.211721191302887,1.8424195502575458e-10
bspline_C0,True,64,10.211721191346205,4.331823788561451e-11
bspline_C0,False,12,nan,
bspline_C0,False,16,2.9862187350004414,nan
bspline_C0,False,24,10.19612520004573,7.209906465045288
bspline_C0,False,32,9.942969813931205,0.2531553861145248
bspline_C0,False,64,10.18640270740995,0.24343289347874553
