k_hat,kappa,mode,beta_L,Lambda,reference
1.0,1.0,1,1.412186163932525,3.977111882041935,transfer matrix (mpmath dps=50)
1.0,1.0,2,4.686417410571359,482.35176406778817,transfer matrix (mpmath dps=50)
1.0,1.0,3,7.4338207845767865,3053.854542711416,transfer matrix (mpmath dps=50)
1.0,1.0,4,9.980306325596986,9921.457701504834,transfer matrix (mpmath dps=50)
1.0,1.0,5,13.418235464344097,32417.65787678294,transfer matrix (mpmath dps=50)
1.0,1.0,6,17.0636312033903,84778.51878952168,transfer matrix (mpmath dps=50)
10.0,0.1,1,1.7876174360838974,10.211706596774222,transfer matrix (mpmath dps=50)
10.0,0.1,2,4.692172295469054,484.72542903459134,transfer matrix (mpmath dps=50)
10.0,0.1,3,7.750763230873051,3608.9252043736124,transfer matrix (mpmath dps=50)
10.0,0.1,4,10.649086301571968,12860.249267664605,transfer matrix (mpmath dps=50)
10.0,0.1,5,13.81341564275069,36408.62848535745,transfer matrix (mpmath dps=50)
10.0,0.1,6,17.18038595019389,87122.76766829425,transfer matrix (mpmath dps=50)
100.0,0.01,1,1.8653624681986944,12.107457057652175,transfer matrix (mpmath dps=50)
100.0,0.01,2,4.693865398972903,485.42543285292714,transfer matrix (mpmath dps=50)
100.0,0.01,3,7.842718527769248,3783.262838212456,transfer matrix (mpmath dps=50)
100.0,0.01,4,10.951374937031831,14383.831663753972,transfer matrix (mpmath dps=50)
100.0,0.01,5,14.088870250453349,39400.767192792155,transfer matrix (mpmath dps=50)
100.0,0.01,6,17.263612483534093,88823.26136937663,transfer matrix (mpmath dps=50)
1000.0,0.001,1,1.874118459912237,12.336391794930657,transfer matrix (mpmath dps=50)
1000.0,0.001,2,4.694068154284893,485.50931166415654,transfer matrix (mpmath dps=50)
1000.0,0.001,3,7.8535347957448876,3804.176768049607,transfer matrix (mpmath dps=50)
1000.0,0.001,4,10.991007342250182,14593.18176823956,transfer matrix (mpmath dps=50)
1000.0,0.001,5,14.132099285355501,39886.57260975125,transfer matrix (mpmath dps=50)
1000.0,0.001,6,17.27715969139828,89102.39746030125,transfer matrix (mpmath dps=50)
