problem,family,mode,solver,size_label,size,iterations,e_lam,p_correct,seconds_reported,seconds_per_attempt,accounting,E_T_success,at_reference_floor,per_attempt_is_upper_bound,seconds_per_attempt_min,seconds_per_attempt_max,ensemble_seconds
P4,classical,1,graded Q2 (beta=1.0),n_dof,322,,0.005031249389561573,1.0,0.03721987805329263,0.03721987805329263,single deterministic solve (numpy/CPU),0.03721987805329263,False,,,,
P4,classical,2,graded Q2 (beta=1.0),n_dof,322,,0.0021574666133197446,1.0,0.03721987805329263,0.03721987805329263,single deterministic solve (numpy/CPU),0.03721987805329263,False,,,,
P4,classical,3,graded Q2 (beta=1.0),n_dof,322,,0.007167471303140573,1.0,0.03721987805329263,0.03721987805329263,single deterministic solve (numpy/CPU),0.03721987805329263,False,,,,
P4,classical,1,graded Q2 (beta=1.0),n_dof,1410,,0.002053473587926159,1.0,0.045398996910080314,0.045398996910080314,single deterministic solve (numpy/CPU),0.045398996910080314,False,,,,
P4,classical,2,graded Q2 (beta=1.0),n_dof,1410,,0.0006161426467508724,1.0,0.045398996910080314,0.045398996910080314,single deterministic solve (numpy/CPU),0.045398996910080314,False,,,,
P4,classical,3,graded Q2 (beta=1.0),n_dof,1410,,0.0024649805799822552,1.0,0.045398996910080314,0.045398996910080314,single deterministic solve (numpy/CPU),0.045398996910080314,False,,,,
P4,classical,1,graded Q2 (beta=1.0),n_dof,5890,,0.0008965130083469809,1.0,0.21769567695446312,0.21769567695446312,single deterministic solve (numpy/CPU),0.21769567695446312,False,,,,
P4,classical,2,graded Q2 (beta=1.0),n_dof,5890,,0.00023036870248484945,1.0,0.21769567695446312,0.21769567695446312,single deterministic solve (numpy/CPU),0.21769567695446312,False,,,,
P4,classical,3,graded Q2 (beta=1.0),n_dof,5890,,0.0010925805957140485,1.0,0.21769567695446312,0.21769567695446312,single deterministic solve (numpy/CPU),0.21769567695446312,False,,,,
P4,classical,1,graded Q2 (beta=3.0),n_dof,322,,0.007237849115607833,1.0,0.012717355974018574,0.012717355974018574,single deterministic solve (numpy/CPU),0.012717355974018574,False,,,,
P4,classical,2,graded Q2 (beta=3.0),n_dof,322,,0.009463081849992576,1.0,0.012717355974018574,0.012717355974018574,single deterministic solve (numpy/CPU),0.012717355974018574,False,,,,
P4,classical,3,graded Q2 (beta=3.0),n_dof,322,,0.018315769704518346,1.0,0.012717355974018574,0.012717355974018574,single deterministic solve (numpy/CPU),0.012717355974018574,False,,,,
P4,classical,1,graded Q2 (beta=3.0),n_dof,1410,,0.0008443368188225585,1.0,0.04400032991543412,0.04400032991543412,single deterministic solve (numpy/CPU),0.04400032991543412,False,,,,
